0.000000000000000000e+00,3.343015999999999767e+05,6.798456999999999534e+05,2.466487000000000116e+05,1.117157100000000093e+06,6.482915999999999767e+05,6.948546999999999534e+05,8.070330000000000291e+04,3.755209000000000233e+05,8.460915000000000000e+05
3.324145999999999767e+05,0.000000000000000000e+00,3.450340000000000000e+05,5.271834000000000233e+05,1.303411300000000047e+06,6.328605000000000000e+05,6.710715000000000000e+05,3.284567999999999884e+05,7.050110999999999767e+05,8.151635999999999767e+05
6.778245000000000000e+05,3.453842000000000116e+05,0.000000000000000000e+00,8.725931999999999534e+05,1.503715100000000093e+06,7.799128000000000466e+05,5.701391999999999534e+05,6.738665999999999767e+05,9.945685000000000000e+05,9.622159000000000233e+05
2.459125000000000000e+05,5.279526999999999534e+05,8.734969000000000233e+05,0.000000000000000000e+00,1.221779699999999953e+06,9.020168000000000466e+05,8.840858000000000466e+05,2.037591000000000058e+05,4.639539000000000233e+05,1.099816600000000093e+06
1.116838500000000000e+06,1.302947600000000093e+06,1.503641800000000047e+06,1.221469300000000047e+06,0.000000000000000000e+00,8.319785999999999767e+05,1.807878699999999953e+06,1.170038199999999953e+06,7.583396999999999534e+05,8.884908000000000466e+05
6.479015000000000000e+05,6.325708000000000466e+05,7.796130000000000000e+05,9.020034000000000233e+05,8.320693000000000466e+05,0.000000000000000000e+00,1.317293899999999907e+06,7.360580000000000000e+05,6.428050999999999767e+05,2.356197000000000116e+05
6.969139000000000233e+05,6.751120000000000000e+05,5.706830999999999767e+05,8.871216999999999534e+05,1.811146600000000093e+06,1.269662300000000047e+06,0.000000000000000000e+00,6.883950999999999767e+05,1.069510399999999907e+06,1.451965500000000000e+06
7.935710000000000582e+04,3.295487999999999884e+05,6.750930000000000000e+05,2.037070000000000000e+05,1.169833000000000000e+06,7.354615000000000000e+05,6.856819000000000233e+05,0.000000000000000000e+00,4.281967999999999884e+05,9.332613000000000466e+05
3.744564000000000233e+05,7.049434000000000233e+05,9.942293000000000466e+05,4.635245999999999767e+05,7.585033000000000466e+05,6.436403000000000466e+05,1.065496600000000093e+06,4.276560000000000000e+05,0.000000000000000000e+00,8.054044000000000233e+05
8.465231999999999534e+05,8.155480000000000000e+05,9.625901999999999534e+05,1.100625000000000000e+06,8.878911999999999534e+05,2.359947999999999884e+05,1.500271100000000093e+06,9.346796999999999534e+05,8.056055999999999767e+05,0.000000000000000000e+00
